         DensityL1,         DensityL2,       DensityLinf,        PressureL1,        PressureL2,      PressureLinf,   MaximumLevel,     Inputfile,                                                                                                                                                          Executable
    5.36481732e-05,    2.09746802e-05,    1.75519590e-05,    6.49861390e-05,    3.37876636e-05,    3.13404059e-05,              0,          SodX,                                    ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
    7.50705541e-06,    2.98212123e-06,    2.61488842e-06,    9.24458866e-06,    4.86444631e-06,    4.59050036e-06,              1,          SodX,                                    ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
    1.28828273e-07,    3.16465640e-08,    2.10395319e-08,    1.26087948e-07,    3.24378931e-08,    2.24178414e-08,              3,          SodX,                                    ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
    2.53052414e-09,    4.31403807e-10,    2.67288405e-10,    2.70984426e-09,    5.25984284e-10,    4.66899113e-10,              5,          SodX,                                    ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
    1.79790069e-06,    4.81072783e-07,    2.95788755e-07,    1.70715046e-06,    5.93024051e-07,    4.98112838e-07,              0,          SodX,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
    2.84399467e-07,    9.84675290e-08,    8.56329759e-08,    3.04677471e-07,    1.54808648e-07,    1.49398213e-07,              1,          SodX,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
    7.91472409e-09,    1.54898466e-09,    1.17184092e-09,    8.90585608e-09,    2.24665307e-09,    2.03799809e-09,              3,          SodX,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
    1.72381373e-10,    2.12153406e-11,    7.75527946e-12,    1.93248435e-10,    2.48802371e-11,    1.30110519e-11,              5,          SodX,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
    4.20347064e-05,    1.71242192e-05,    1.50718666e-05,    4.95227518e-05,    2.76342072e-05,    2.66893986e-05,              0,          SodX,                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
    6.10548155e-06,    2.68105533e-06,    2.47976747e-06,    7.38801113e-06,    4.49904383e-06,    4.42119908e-06,              1,          SodX,                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
    1.03771099e-07,    2.48402907e-08,    1.47108735e-08,    1.02545862e-07,    2.73959994e-08,    2.06453307e-08,              3,          SodX,                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
    1.87022725e-09,    3.89504842e-10,    2.47930541e-10,    1.88352522e-09,    4.78033523e-10,    4.35553134e-10,              5,          SodX,                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
    1.34428179e-06,    3.92850208e-07,    2.10452028e-07,    1.30841558e-06,    4.61823524e-07,    3.57546722e-07,              0,          SodX,              ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
    2.23229500e-07,    8.78670101e-08,    7.91651220e-08,    2.51112892e-07,    1.41416050e-07,    1.39572140e-07,              1,          SodX,              ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
    6.03199384e-09,    1.30826300e-09,    1.05180585e-09,    6.64316061e-09,    1.90794986e-09,    1.81724600e-09,              3,          SodX,              ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
    1.85071681e-10,    1.96058540e-11,    9.26678122e-12,    1.90392127e-10,    2.14006454e-11,    9.49210873e-12,              5,          SodX,              ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
    4.53331444e-05,    1.84825089e-05,    1.64356637e-05,    5.15861558e-05,    2.92978943e-05,    2.83574250e-05,              0,          SodX,                                      ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
    6.65159031e-06,    2.95942815e-06,    2.75045952e-06,    8.00505554e-06,    4.88912820e-06,    4.77653473e-06,              1,          SodX,                                      ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
    1.15608744e-07,    2.99771796e-08,    2.05574370e-08,    1.16828280e-07,    3.86368989e-08,    3.43946011e-08,              3,          SodX,                                      ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
    1.73769160e-09,    4.75569410e-10,    3.76506612e-10,    1.68253667e-09,    6.57079476e-10,    6.33005849e-10,              5,          SodX,                                      ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
    1.02774396e-06,    2.58481190e-07,    1.81214189e-07,    9.21920404e-07,    3.41063398e-07,    3.09256115e-07,              0,          SodX,                 ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
    1.39673142e-07,    3.23255215e-08,    1.90887118e-08,    1.09111069e-07,    3.65373338e-08,    3.22021790e-08,              1,          SodX,                 ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
    6.61334976e-09,    1.12867620e-09,    6.83686400e-10,    7.28060608e-09,    1.50918160e-09,    9.54411956e-10,              3,          SodX,                 ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
    5.98912859e-11,    1.25038348e-11,    9.18574451e-12,    4.09507954e-11,    1.69586048e-11,    1.60717586e-11,              5,          SodX,                 ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
