        Runtime,   MaximumLevel,     Inputfile,                                                                                                                                       Executable
     0.00679184,              0,          SodX,                                    ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Hllc_Fedkiw_Roe_Roe_M_Einfeldt_WENO9_HOUC5
     0.01369322,              1,          SodX,                                    ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Hllc_Fedkiw_Roe_Roe_M_Einfeldt_WENO9_HOUC5
     0.07691618,              3,          SodX,                                    ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Hllc_Fedkiw_Roe_Roe_M_Einfeldt_WENO9_HOUC5
     0.45509850,              5,          SodX,                                    ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Hllc_Fedkiw_Roe_Roe_M_Einfeldt_WENO9_HOUC5
     0.01718748,              0,          SodX,                  ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Exact_Fedkiw_Roe_GlobalLaxFriedrichs_Einfeldt_WENO5_HOUC5
     0.04250363,              1,          SodX,                  ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Exact_Fedkiw_Roe_GlobalLaxFriedrichs_Einfeldt_WENO5_HOUC5
     0.21094900,              3,          SodX,                  ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Exact_Fedkiw_Roe_GlobalLaxFriedrichs_Einfeldt_WENO5_HOUC5
     1.13968750,              5,          SodX,                  ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Exact_Fedkiw_Roe_GlobalLaxFriedrichs_Einfeldt_WENO5_HOUC5
     0.00652158,              0,          SodX,                     ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Exact_Fedkiw_Roe_LocalLaxFriedrichs_Einfeldt_WENO5Z_HOUC5
     0.01346215,              1,          SodX,                     ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Exact_Fedkiw_Roe_LocalLaxFriedrichs_Einfeldt_WENO5Z_HOUC5
