         DensityL1,         DensityL2,       DensityLinf,        PressureL1,        PressureL2,      PressureLinf,   MaximumLevel,     Inputfile,                                                                                                                                        Executable
    1.00420788e-04,    1.03239400e-05,    2.32969119e-06,    1.13784806e-04,    1.67993479e-05,    4.09156155e-06,              0,          SodX,                         ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_HjReconstructionStencil_Weno_Linearized_Fedkiw_Roe_Roe_Einfeldt_WENO5_HOUC5
    7.19817501e-06,    2.27468122e-07,    1.50757733e-08,    6.43090634e-06,    2.51798216e-07,    2.25794261e-08,              2,          SodX,                         ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_HjReconstructionStencil_Weno_Linearized_Fedkiw_Roe_Roe_Einfeldt_WENO5_HOUC5
    4.16316344e-07,    6.87481253e-09,    2.63223956e-10,    3.16522804e-07,    7.78146809e-09,    4.49479071e-10,              4,          SodX,                         ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_HjReconstructionStencil_Weno_Linearized_Fedkiw_Roe_Roe_Einfeldt_WENO5_HOUC5
    1.00420788e-04,    1.03239400e-05,    2.32969119e-06,    1.13784806e-04,    1.67993479e-05,    4.09156155e-06,              0,          SodY,                         ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_HjReconstructionStencil_Weno_Linearized_Fedkiw_Roe_Roe_Einfeldt_WENO5_HOUC5
    7.19817501e-06,    2.27468122e-07,    1.50757733e-08,    6.43090634e-06,    2.51798216e-07,    2.25794261e-08,              2,          SodY,                         ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_HjReconstructionStencil_Weno_Linearized_Fedkiw_Roe_Roe_Einfeldt_WENO5_HOUC5
    4.16316344e-07,    6.87481253e-09,    2.63223956e-10,    3.16522804e-07,    7.78146809e-09,    4.49479071e-10,              4,          SodY,                         ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_HjReconstructionStencil_Weno_Linearized_Fedkiw_Roe_Roe_Einfeldt_WENO5_HOUC5
    9.70013010e-05,    1.00164697e-05,    2.26648841e-06,    1.14180965e-04,    1.63693792e-05,    3.98898912e-06,              0,          SodX,     ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Min_TwoRarefaction_Fedkiw_Roe_GlobalLaxFriedrichs_Einfeldt_WENOAO53_HOUC5
    6.88561911e-06,    2.21585301e-07,    1.41467083e-08,    6.83677547e-06,    2.57557783e-07,    2.00258537e-08,              2,          SodX,     ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Min_TwoRarefaction_Fedkiw_Roe_GlobalLaxFriedrichs_Einfeldt_WENOAO53_HOUC5
    3.72902903e-07,    6.17574866e-09,    2.39557179e-10,    3.28634696e-07,    7.24345432e-09,    4.10613902e-10,              4,          SodX,     ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Min_TwoRarefaction_Fedkiw_Roe_GlobalLaxFriedrichs_Einfeldt_WENOAO53_HOUC5
    9.49236788e-05,    9.49943998e-06,    2.08539999e-06,    1.05180973e-04,    1.52289107e-05,    3.73289451e-06,              0,          SodY,     ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Min_TwoRarefaction_Fedkiw_Roe_GlobalLaxFriedrichs_Einfeldt_WENOAO53_HOUC5
    5.67814712e-06,    1.47876098e-07,    1.04703850e-08,    4.79563437e-06,    1.77303096e-07,    1.35418169e-08,              2,          SodY,     ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Min_TwoRarefaction_Fedkiw_Roe_GlobalLaxFriedrichs_Einfeldt_WENOAO53_HOUC5
    4.58875600e-07,    7.23569639e-09,    3.24756554e-10,    2.64652318e-07,    5.44582578e-09,    2.96341254e-10,              4,          SodY,     ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Min_TwoRarefaction_Fedkiw_Roe_GlobalLaxFriedrichs_Einfeldt_WENOAO53_HOUC5
    9.50195172e-05,    1.00443219e-05,    2.28677441e-06,    1.11548445e-04,    1.64977521e-05,    4.03873329e-06,              0,          SodX,         ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Linearized_Fedkiw_Roe_LocalLaxFriedrichs_Einfeldt_WENOAO53_HOUC5
    6.63838767e-06,    2.14896288e-07,    1.43515883e-08,    6.49134246e-06,    2.43798419e-07,    1.89720212e-08,              2,          SodX,         ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Linearized_Fedkiw_Roe_LocalLaxFriedrichs_Einfeldt_WENOAO53_HOUC5
