        Runtime,  NumberOfRanks,             Inputfile,                                                                                                                                                          Executable
3.1120454545454544e+02,1,     RayleighTaylorInstability,      ALPACA_2D_16_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENOAO53_HOUC5_ReconstructionStencil_Min_TwoRarefaction_Fedkiw
5.002684545454545e+01,8,     RayleighTaylorInstability,      ALPACA_2D_16_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENOAO53_HOUC5_ReconstructionStencil_Min_TwoRarefaction_Fedkiw
2.0030190909090912e+01,28,     RayleighTaylorInstability,      ALPACA_2D_16_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENOAO53_HOUC5_ReconstructionStencil_Min_TwoRarefaction_Fedkiw
1.8514127272727274e+02,1,     RayleighTaylorInstability,                          ALPACA_2D_16_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjReconstructionStencil_Weno_Linearized_Fedkiw
3.1491454545454545e+01,8,     RayleighTaylorInstability,                          ALPACA_2D_16_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjReconstructionStencil_Weno_Linearized_Fedkiw
1.3057736363636366e+01,28,     RayleighTaylorInstability,                          ALPACA_2D_16_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjReconstructionStencil_Weno_Linearized_Fedkiw
3.431578181818182e+02,1,     RayleighTaylorInstability,          ALPACA_2D_16_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENOAO53_HOUC5_ReconstructionStencil_Weno_Linearized_Fedkiw
5.365415454545455e+01,8,     RayleighTaylorInstability,          ALPACA_2D_16_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENOAO53_HOUC5_ReconstructionStencil_Weno_Linearized_Fedkiw
2.0572872727272728e+01,28,     RayleighTaylorInstability,          ALPACA_2D_16_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENOAO53_HOUC5_ReconstructionStencil_Weno_Linearized_Fedkiw
2.041989090909091e+02,1,     RayleighTaylorInstability,                                  ALPACA_2D_16_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjReconstructionStencil_Min_Hllc_Fedkiw
3.383273636363636e+01,8,     RayleighTaylorInstability,                                  ALPACA_2D_16_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjReconstructionStencil_Min_Hllc_Fedkiw
1.3797109090909089e+01,28,     RayleighTaylorInstability,                                  ALPACA_2D_16_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjReconstructionStencil_Min_Hllc_Fedkiw
