        Runtime,                     Inputfile,                                                                                                                                                           Executable
6.190095454545455e-02,                SodX,             ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_TwoRarefaction_Fedkiw
2.4611527272727274e-01,                SodX,                  ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
6.0570436363636355e-02,                SodX,                ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
2.503901818181818e-01,                SodX,      ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
1.4732709090909094e-01,                SodX,                               ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
1.6661254545454546e-01,                SodX,                                ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
1.508311818181818e-01,                SodX,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
2.7597645454545455e-01,                SodX,          ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
1.5107545454545457e-01,                SodX,                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
2.839606363636364e-01,                SodX,                              ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
5.636675454545455e-02,                SodX,                                        ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
2.536753636363636e-01,                SodX,                         ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
6.081262727272727e-02,                SodX,                                 ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
1.4252863636363636e-01,                SodX,                        ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
6.203732727272727e-02,                SodX,                                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
1.7178609090909092e-01,                SodX,               ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
5.733414545454545e-02,                SodX,                      ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
2.4019318181818178e-01,                SodX,                       ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
5.724403636363637e-02,                SodX,                                       ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
1.52735e-01,                SodX,                                    ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
2.60607e-01,                SodX,                                  ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
