        Runtime,                     Inputfile,                                                                                                                                                           Executable
3.7318481818181815e-01,     ShockWaterToAir,             ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_TwoRarefaction_Fedkiw
1.1868163636363636e+00,     ShockWaterToAir,                  ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
3.827852727272727e-01,     ShockWaterToAir,                ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
1.2280936363636363e+00,     ShockWaterToAir,      ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
7.803687272727273e-01,     ShockWaterToAir,                               ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
8.455004545454545e-01,     ShockWaterToAir,                                ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
8.032995454545454e-01,     ShockWaterToAir,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
1.2040045454545454e+00,     ShockWaterToAir,          ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
8.087327272727273e-01,     ShockWaterToAir,                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
1.3658654545454545e+00,     ShockWaterToAir,                              ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
3.712830909090909e-01,     ShockWaterToAir,                                        ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
1.193741818181818e+00,     ShockWaterToAir,                         ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
3.807842727272728e-01,     ShockWaterToAir,                                 ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
7.675244545454546e-01,     ShockWaterToAir,                        ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
4.558603636363637e-01,     ShockWaterToAir,                                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
8.71311e-01,     ShockWaterToAir,               ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
3.744050909090909e-01,     ShockWaterToAir,                      ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
1.1757827272727273e+00,     ShockWaterToAir,                       ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
3.755773636363637e-01,     ShockWaterToAir,                                       ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
8.265923636363638e-01,     ShockWaterToAir,                                    ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
1.2879636363636364e+00,     ShockWaterToAir,                                  ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
2.2382509090909092e-01,        LevelsetSodX,             ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_TwoRarefaction_Fedkiw
7.885585454545455e-01,        LevelsetSodX,                  ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
2.174989090909091e-01,        LevelsetSodX,                ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
7.482573636363636e-01,        LevelsetSodX,      ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
4.788474545454546e-01,        LevelsetSodX,                               ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
5.081662727272728e-01,        LevelsetSodX,                                ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
4.8840500000000003e-01,        LevelsetSodX,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
7.863369090909091e-01,        LevelsetSodX,          ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
4.978851818181818e-01,        LevelsetSodX,                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
8.804433636363637e-01,        LevelsetSodX,                              ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
2.3598136363636363e-01,        LevelsetSodX,                                        ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
8.078195454545455e-01,        LevelsetSodX,                         ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
2.137793636363636e-01,        LevelsetSodX,                                 ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
4.773376363636364e-01,        LevelsetSodX,                        ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
